timestamp;happy;neutral;surprise;sad;angry;fear;disgust;interaction_type;interaction_element;url;;
60,81;51,08118653;42,60101914;3,30305472;1,917880587;0,11547266;0,475756358;0,505628763;;;;;
61,08;96,87731862;3,055961616;0,048113984;0,016720104;0,000924333;0,000940607;2,55E-05;;;;;
61,35;98,05948138;1,932354085;0,006477942;0,001622093;3,31E-05;3,19E-05;8,16E-09;;;;;
61,62;58,79613512;22,68168018;10,91295471;4,237134635;0,815080248;2,541938762;0,015081162;;;;;
61,89;;;;;;;;click;P;;;
62,16;45,03762424;25,49144626;7,093125582;19,06841099;1,499697194;1,747555099;0,06213896;;;;;
62,43;0,998677965;16,62358195;10,84611788;54,12512422;1,258238312;15,83221704;0,316041172;;;;;
62,7;0,015395758;6,76E-07;3,49E-11;94,04913187;0,888639875;5,046831816;8,55E-09;;;;;
62,97;0,073120472;4,106347146;0,002676046;0,0993822;0,002195333;95,7162743;8,14E-09;;;;;
63,24;0,030743673;0,47911479;1,40E-07;0,076039528;0,722769655;98,69132654;2,65E-10;;;;;
63,51;0,003248372;0,000535189;5,00E-10;0,001516725;0,000367632;99,9943316;8,18E-13;;;;;
63,78;0,070662337;17,03233272;0,011892131;73,65755439;0,500116218;5,460361019;3,267081827;;;;;
64,05;34,76402164;61,83961034;0,017597742;1,519149169;0,151116855;1,708331518;0,000178156;;;;;
64,32;17,49054298;71,99409437;0,634060558;5,762628809;1,036180152;2,898097211;0,184397422;;;;;
64,59;2,932176739;32,25575387;2,641442232;42,46590436;4,255460575;14,76234347;0,686915405;;;;;
64,86;0,154829805;73,2608974;0,000278093;26,05754137;0,146308844;0,380139751;2,46E-06;;;;;
65,13;1,41E-06;0,012637206;3,72E-07;5,667763541;8,86E-05;94,31951012;1,20E-10;;;;;
65,4;1,34E-11;1,18E-05;6,57E-14;99,97017383;1,49E-06;0,029814597;1,16E-20;;;;;
65,67;5,14E-05;0,001376067;0,717464563;0,121031;0,112888623;99,0471841;9,26E-08;;;;;
65,94;0,001650048;4,359744715;0,020462352;41,55677062;5,696496806;48,36487492;1,38E-06;;;;;
66,21;0,000734049;6,291423738;0,003699629;65,61864018;19,58460808;8,500893414;2,67E-07;;;;;
66,48;0,003384213;3,851491585;0,016263971;56,32956624;4,915307835;34,88398492;1,22E-06;;;;;
66,75;3,46E-05;0,008856105;0,00361631;1,019690186;0,245147175;98,72259498;5,48E-05;;;;;
67,02;2,48E-05;0,000105063;0,011748351;0,024695176;0,457333409;99,06586397;0,440231623;;;;;
